Main Noodle House Inc,"1011 Avenue Of The Amr Front 1, New York, NY",(212) 869-0888
Bo Chun,"530 Montgomery Street, Jersey City, NJ",(201) 369-0010
Saki Corporation,,
Patricia Heal,"226 E 12th Street Apartment 8a, New York, NY",(212) 995-2505
Tacos Jalisco,"2508 34th Avenue, Astoria, NY",(718) 786-0400
Babys Grill & Restaurant Inc,"6828 Roosevelt Avenue, Woodside, NY",(718) 440-8121
Dos Caminos,"373 Park Avenue South, New York, NY",(212) 294-1000
Osteria,"142 West 44th Street, New York, NY",(212) 944-3643
International Hard Hat Cafe,"90 Bay Street, Staten Island, NY",(718) 273-4428
Roy's Restaurant & Sports Bar,"11101 Liberty Avenue, South Richmond Hill, NY",(718) 641-2254
Famous Original Ray's Pizza,"204 9th Avenue, New York, NY",(212) 243-1129
Big Dumpling Corporation,"251 East 45th Street, New York, NY",(212) 808-9388
"Golden Punjab Indian Restaurant, Inc","13002 101st Avenue, South Richmond Hill, NY",(718) 849-1820
Broadway Deli Ahn,"1 West 43rd Street, New York, NY",(212) 695-3092
Cafe Un Deux Trois,"123 West 44th Street, New York, NY",(212) 354-4397
Dek Sen,"8608 Whitney Avenue, Elmhurst, NY",(718) 205-5181
56 Street Restaurant LLC,"227 East 56th Street, New York, NY",(212) 207-9001
Bertucci's Brick Oven Restaurant,"560 Washington Boulevard, Jersey City, NJ",(201) 222-8088
Great Wall Chinese Restaurant,"10437 Queens Boulevard, Flushing, NY",(718) 275-2255
Star Of Siam Thai Kitchen,"10318 Metropolitan Avenue, Forest Hills, NY",(718) 544-4097
Chibcha Restaurant Inc,"7905 Roosevelt Avenue, Jackson Heights, NY",(718) 429-9033
Snafu Bar,"127 East 47th Street, New York, NY",(212) 317-9100
Tauro Restaurant,"284 Hudson Street, New York, NY",(212) 206-8530
Bistro New York,"466 Lexington Avenue Front A, New York, NY",(212) 808-4200
Siro's,"1 Dag Hammarskjold Plaza, New York, NY",(212) 486-7079
Cipriani,"110 East 42nd Street Floor 5, New York, NY",(212) 499-0599
Satay Malaysian Cuisine,"99 Washington Street, Hoboken, NJ",(201) 386-8688
Midori Matsu Restaurant,"11116 Queens Boulevard, Forest Hills, NY",(718) 263-4110
Brown Betty Restaurant,"12906 Liberty Avenue, South Richmond Hill, NY",(718) 323-6438
Uncle Jimmy's Pizzeria Corporation,"4110 49th Street, Sunnyside, NY",(718) 507-9099
Ayiano Pizza,"344 9th Avenue, New York, NY",(212) 279-8966
Nabon Thai Market,"7115 51st Avenue, Woodside, NY",(718) 507-4447
Three Stars Corporation,,
Hale & Hearty,"466 Lexington Avenue Front 9, New York, NY",(212) 599-7220
Paraiba International,"20 East 46th Street Room 1100, New York, NY",(212) 922-2952
The King Of Empanadas Inc,"3755 108th Street # 1, Corona, NY",(718) 803-1699
Tenzan Iii New York Corporation,"988 2nd Avenue, New York, NY",(917) 362-9875
Vitae,"4 East 46th Street, New York, NY",(212) 682-3562
Lin S Kitchen,"7024 35th Avenue, Jackson Heights, NY",(718) 505-1388
Deli 21 & Pizza 15,"668 Avenue Of The Americas, New York, NY",(212) 675-5616
Otro Rollo Mexican Cafe,"2940 Northern Boulevard, Long Island City, NY",(718) 626-1380
Ise Restaurant Inc Rpo,"151 East 49th Street Front, New York, NY",(212) 785-1600
Larsen's Restaurant,"508 Bergen Avenue, Jersey City, NJ",(201) 432-2222
Sofrito,"400 East 57th Street Front #, New York, NY",(212) 754-5999
Ufc Chicken,"7122 Roosevelt Avenue, Jackson Heights, NY",(718) 205-6662
Aureole Restaurant,"135 West 42nd Street, New York, NY",(212) 319-1660
Mill Foods,"140 E 52nd St, New York, NY",(212) 826-0302
Fortuna L Corporation,"6406 108th Street, Flushing, NY",(718) 896-6661
Texas-Arizona,"76 River Street, Hoboken, NJ",(201) 420-0304
Deli El Mexicano Corporation,"6413 Roosevelt Avenue, Woodside, NY",(718) 396-3605
Efendi,,
Tutta Pasta Restaurant,"200 Washington Street # A, Hoboken, NJ",(201) 792-9603
