Name,Address,Phone
Mamas & Papas Pet Clinic,"4512 Parsons Boulevard, Flushing, NY",(718) 353-8698
All City Pet Cremation,"102-09 101st Avenue, Queens Village, NY",(718) 805-2204
All City Pet Cremation,"102-09 101st Avenue, Queens Village, NY",(718) 805-2204
The Insured Pet,"254 Park Ave, Manhattan, NY",(877) 729-4838
All City Pet Cremation,"102-09 101st Avenue, Queens Village, NY",(718) 805-2204
All City Pet Cremation,"102-09 101st Avenue, Queens Village, NY",(718) 805-2204
Skootee's Pet Care Service,,(917) 239-0797
Brooklyn Pet Spa,"317 Flatbush Avenue, Brooklyn, NY",(718) 768-0293
Noah's Ark Pet Clinic,"8505 37th Avenue, Jackson Heights, NY",(718) 396-2111
Passport Health Mount Vernon Travel Clinic,"7 Broad Street West, Mount Vernon, NY",(914) 217-1999
Homedoggy,"123A 7th Avenue, Brooklyn, NY",(718) 576-3918
Old Red English Bulldogs Kennel Inc,"45 John Street, New York, NY",(347) 272-9141
Evelyn Aesthetics,"99 Madison Avenue, New York, NY",(646) 948-9700
"Mujtaba NP in Family Health, P.C.","104-26 Roosevelt Avenue, Queens Village, NY",(929) 463-7190
Beba Happy Tails,"111-25 Roosevelt Avenue, Queens Village, NY",(718) 760-1906
Mujtaba NP in Family Health,"104-26 Roosevelt Avenue, Queens Village, NY",(929) 463-7190
Shiny Paws Grooming & Day Care,"466 Mayfair Drive South, Brooklyn, NY",(917) 304-2445
Passport Health West Orange Travel Clinic,"81 Northfield Avenue, West Orange, NJ",(973) 419-5026
Pet Boutique,"1001 Broadway, New York, NY",
Lost Pet,"1001 Broadway, New York, NY",(609) 456-9865
Pet Cuisine,"1001 Broadway, New York, NY",(609) 456-9865
Pet Dreams,"27 W. 20th Street 10th Floor, New York, NY",(212) 366-5532
Musculoskeletal Wellness Clinic,"116-22 Queens Blvd, Queens, NY",(718) 540-1083
A Pet with Paws,"30 E 65th St Suite 9D, New York, NY",(917) 664-6079
Canine Car Pet Transportation,,(212) 641-2271
Pet Store Supplies Delivery NY,"319 Lafayette Street, New York, NY",(646) 200-5939
Organic Pet Boutique,"15 Warren , New York, NY",(888) 443-9222
Tails Untold Personalized Pet Books,"332 Bleecker Street, New York, NY",(646) 783-4659
Clark Pet Shop ,"57 Clark Street, Brooklyn, NY",(718) 852-7208
Pet Palace,"6119 Fresh Pond Road, Middle Village, NY",(718) 497-7387
Yvettes Small Pet Care,,(212) 535-6937
Pet Spa,"1001 Broadway, New York, NY",(609) 456-9865
Pet Web Express ,"7217 3rd Avenue, Brooklyn, NY",(347) 414-7387
"Pet Flow, LLC","1140 Broadway, New York, NY",(888) 316-7297
Wagging Tails Dog Walking and Pet Sitting,"Bloomfield Street, Hoboken, NJ",(201) 446-1559
Pet Web Supplies Store Online,"7217 3rd Ave, Brooklyn, NY",(347) 414-7387
Localdogwalker - Free Professional Pet Care Service for Pet Owners,"708 Third Avenue, 5th Fl, New York, NY",(800) 398-6081
Best Pet Guides,"77, Park Avenue Suite # 9362, New York, NY",(917) 369-3022
Eddie's Pet Service,"324 East 19th Street , New York, NY",(212) 591-2422
Tom's Pet Service,"., New York, NY",(917) 809-6735
Earthly Critters Pet Transportation,"Service Area, Queens, NY",(917) 994-9415
The Fuzzybutts Pet Bakery & Boutique,"7618 13th Avenue, Brooklyn, NY",(347) 420-2826
The Pet Bodega,"Kensington Avenue, Jersey City, NJ",(732) 993-8343
181st Street Urgent Care,"521 West 181st Street, New York, NY",(212) 281-9472
Central Park Pet Spa,"38-07 Ditmars Blvd., Astoria, NY",(718) 204-2777
Fetch! Pet Care," 330 Washington Ave , PMB# 299 , Hoboken, NJ",(201) 490-4497
Professional Pet Sitting and Dog Walking,"708 Third Avenue, 5th Fl, Manhattan, NY",(800) 398-6081
"Canines, Felines, and Critters Pet Care",,(718) 697-9509
Leash Life Pet Services,"83 Wythe Ave. , Brooklyn, NY",(917) 676-0260
Loving paws pet sitting and doggie baths,"59-27 55 st., Maspeth, NY",(347) 221-8374
Pampered Paws Pet Grooming,"1440 east 14th street #D2, New York, NY",(212) 335-0100
"Abby On Argyle Pet Sitting & Dog Walking, LLC","736 Argyle Road, Brooklyn, NY",
Walk In Clinic Of NYC,"274 Madison Ave, Suite 304 A, New York, NY",(212) 686-5800
R and T Holistic Pet and Gifts ,"14-17 College Point Blvd, College Point, NY",
Peppie Paws Charitable Dog Walking and Pet Caretaking,"Tribeca/West Village areas, New York, NY",(646) 606-7839
Weight Loss Clinic: Dr. Vadim Surikov,"211 East 43rd Street, Suite 1704, New York, NY",(347) 599-9118
Unleashed Pet Resorts,"60 EAST 42ND STREET, SUITE 4600, New York, NY",(646) 829-9400
LeashWalks Pet Services,"320 W 108th St, New York, NY",(201) 675-8510
Fetch! Pet Care," 603 W 115th St, New York, NY",(212) 845-9907
Unleashed Pet Resorts,"619 Marin Boulevard, Jersey City, NJ",(201) 786-7900
Top Paws dog walking & pet sitting services,,(201) 681-2059
Walk In Clinic,"1349 Broadway, Brooklyn, NY",(646) 693-0447
Happy Pet Spa Mobile Dog Grooming,"5607 Cottage Av., North Bergen, NJ",(201) 725-7435
Pet Luxory,"2016 Seagirt blvd, 6B, Queens, NY",(800) 640-8729
Pediatric Dental Clinic of North Jersey,"634 Anderson Avenue, Cliffside Park, NJ",(201) 945-1119
Pet Unisex Grooming Ltd,"141 Seaview Ave, Staten Island, NY",(718) 979-3774
"In Home Pet Services, Inc.",,(718) 347-7387
Oak Street Health Primary Care - University Ave Clinic,"1953 University Ave, Bronx, NY",(718) 804-5987
Paticas International Pet Grooming,"829 New Jersey 5 # A, Ridgefield, NJ",(201) 840-0994
Crosby Pet Center Inc,"1626 Crosby Avenue, Bronx, NY",(718) 822-6900
In Home Pet Services Franchise,"88-25 247th St., Bellerose, NY",(718) 347-7387
"Miss Molly's Mobile Pet Spa & Boutique, Inc","2037 Lemoine Avenue #319, Fort Lee, NJ",(201) 679-7319
Pawfectly Organic Pet Treats,"123 MAIN STREET, Newark, NJ",(973) 732-9863
Two Dogs & A Cat Pet Services,"103 Rockaway Ave, Valley Stream, NY",(516) 512-7060
Passport Health Gramercy Park Travel Clinic,"247 3rd Avenue, New York, NY",(332) 264-1588
"Soft Paws Pet Sitting Services, Staten Island, NY",,(718) 980-7297
Passport Health Hoboken Travel Clinic,"70 Hudson Street, Hoboken, NJ",(201) 484-5886
Passport Health Upper West Side Travel Clinic,"680 West End Avenue, New York, NY",(347) 474-1122
Christina's Pet Styles,"83 New Dorp Plz N, Staten Island, NY",(718) 980-7387
Doody Free Pet Waste Removal ,"1365 N. Railroad Ave., Staten Island, NY",(917) 225-8059
Boulevard Animal Clinic,"11249 Queens Boulevard, Forest Hills, undefined",
Boulevard Animal Clinic,"11249 Queens Boulevard, Forest Hills, NY",(347) 878-1950
Passport Health Paramus Travel Clinic,"11 Sunflower Avenue, Paramus, NJ",(901) 582-8778
Wendy's Pet Services,"123 main street, Rutherford, NJ",(201) 893-0076
Fetch! Pet Care ,"1 Orient Way , Suite F-233 , Rutherford, NJ",(201) 490-4497
Bayside Animal Clinic,"36-43 Bell Boulevard, Flushing, NY",(347) 467-4740
Hounds Town Bergen,"450 Main Street, Lodi, NJ",(973) 773-3647
"Pumkin Paws Pet Service, LLC","645 W 239th St., Riverdale, NY",(347) 843-0427
Animal Zone Pet Shop,"261 Clifton Ave, Newark, NJ",(862) 234-5833
Compassionate Care Pet Aquamation,"3055 New St., Oceanside, NY",(516) 608-2279
Pumpkin Pet Insurance,"432 Park Avenue South, New York, NY",(866) 273-6369
Mimi's VIP Pet Salon & Boutique,"444 Boulevard, Hasbrouck Heights, NJ",(201) 288-4747
Dogs and Divas Pet Grooming,"4367 Webster Ave, Bronx, NY",(718) 260-6722
River Road Veterinary Clinic,"445 R 5 North, Norwich, NY",
Animal Empire Veterinary Clinic,"71 08 Grand Avenue, Maspeth, undefined",
Animal Clinic of Bay Ridge,"689 86th Street, Brooklyn, NY",(718) 833-0700
Hanger Clinic: Prosthetics & Orthotics,"5308 New Utrecht Avenue, Brooklyn, NY",(718) 435-1263
Hanger Clinic: Prosthetics & Orthotics,"118-35 Queens Boulevard, Forest Hills, NY",(718) 575-5504
Hanger Clinic: Prosthetics & Orthotics,"380 2nd Avenue, New York, NY",(212) 843-6325
