Name,Address,Phone
Mother Nature Pet Supply,"240 W. Seneca Street, Ste 10, Manlius, NY",(315) 415-8372
Piper Perfect Pet Sitting,"1 Athena Drive, Baldwinsville, NY",(315) 720-0831
Hanger Clinic: Prosthetics & Orthotics,"6620 Fly Road, East Syracuse, NY",(315) 492-6608
Hanger Clinic: Prosthetics & Orthotics,"522 Liberty Street, Syracuse, NY",(315) 472-5200
Annette's Acupuncture,"1905 South Ave, Syracuse, NY",(315) 201-0956
Goode Chi Acupuncture,"5900 North Burdick # 109, East Syracuse, NY",(315) 259-5722
A Pawesome Life,"115 E Fayette St, Syracuse, NY",(315) 740-2025
The Puppy Cut,"511 East Genesee Street #8a, Fayetteville, NY",(315) 632-4366
Dog Gone Inn Doggie Daycare,"315 Fayette St, Manlius, NY",(315) 682-0783
Walk the Dog Service,"7 Maple Street, Marcellus, NY",(315) 420-8845
Missih Dental Care & Periodontics,"770 James Street, Syracuse, NY",(315) 475-1533
"Cathy J. Berry, MD and Associates","101 Pine Street, Syracuse, NY",(315) 422-8105
Cameo Kennels & Day Care,"8539 Oswego Road, Baldwinsville, NY",(315) 622-3553
The Pup Culture,"4973 Astilbe Path, Liverpool, NY",(315) 288-0192
WW (Weight Watchers),"3401 Erie Boulevard East, De Witt, NY",(800) 651-6000
WW (Weight Watchers),"628 South Main Street, North Syracuse, NY",(800) 651-6000
WW (Weight Watchers),"100 Kasson Road, Camillus, NY",(800) 651-6000
Seven Valley Pet Services,"4830 South Rd, Cazenovia, NY",(315) 655-5774
Pet Village,"652 OLD LIVERPOOL Road 5, Liverpool, NY",(315) 451-5811
Lucky Puppy Pet Mall,"2301 Milton Avenue, Solvay, NY",
Pet Style,"527 Charles Avenue, Solvay, NY",(315) 409-5440
Mike & Muff Pet Transport Service,"259 Fellows Avenue, Syracuse, NY",(315) 447-1641
Ack Exotic Pet,"8097 Brewerton Road Stop 1, Cicero, NY",(315) 699-4754
Furrever Friends Pet Boutique & Grooming Salon,"330 1st Street, Liverpool, NY",(315) 218-7368
Cherished Pet Memorials,"310 Bailey Road, Syracuse, NY",(315) 457-0970
Pet Supplies Plus,"7954 Brewerton Road # 400, Cicero, NY",(315) 699-1647
The Golden Pet,"2744 West Genesee Turnpike, Camillus, NY",(315) 672-5095
Four Paws Pet Grooming,"185 West Seneca Street, Manlius, NY",(315) 682-5440
Cass A Roo Farm & Pet Lodge,"2915 Gulf Road, Manlius, NY",(315) 655-4819
Tractor Supply Co.,"6641 Manlius Center Road, East Syracuse, NY",(315) 432-1640
Camillus Hills Pet Lodge Inc,"2744 West Genesee Turnpike, Camillus, NY",(315) 672-5154
Liz Quinlan Dog Training & Pet,,(315) 673-1823
Cynthia Drake - State Farm Insurance Agent,"5422 West Genesee Street, Camillus, NY",(315) 488-5577
Dorothy's Pet Grooming,"5040 Palmer Road, Manlius, NY",(315) 687-5005
Chestnut Ridge Animal Clinic,"6968 Chestnut Ridge Road, Auburn, NY",(315) 252-0312
Comfort Inn Syracuse-Carrier Circle,"6491 Thompson Road, Syracuse, NY",(315) 907-4681
Econo Lodge Dewitt I-90,"3400 Erie Boulevard East, De Witt, NY",(315) 446-3300
Rodeway Inn & Suites,"430 Electronics Parkway, Liverpool, NY",(315) 453-6330
Comfort Inn & Suites,"401 7th North Street, Liverpool, NY",(315) 451-6000
"Ebeling's Pet Centers, Inc","2265 Downer Street Road # 8, Baldwinsville, NY",(315) 635-1500
Ebelings Pet Center,"2265 Downer Street Road, Baldwinsville, NY",(315) 635-1500
Comfort Inn - NYS Fairgrounds,"7010 Interstate Island Road, Syracuse, NY",(315) 453-0045
Cameo Kennels & Day Care,"8539 County Route 57, Baldwinsville, NY",(315) 622-3553
Tractor Supply Co.,"3580 New York 31, Baldwinsville, NY",(315) 652-5885
Comfort Suites Cicero - Syracuse North,"5875 Carmenica Drive, Cicero, NY",(315) 752-0150
Marcellus Veterinary Hospital,"4240 Slate Hill Road, Marcellus, undefined",
"Finger Lakes ENT & Skin Oncology: Douglas W. Halliday, MD, Ph.D.","7 Fennell Street, Skaneateles, NY",(315) 685-0247
"Petco Animal Supplies Stores, Inc","178 Township Boulevard, Camillus, NY",(315) 233-4243
Bark Avenue Doggy Day Care & Grooming Spa LLC,"111 Sunset Ave, Syracuse, NY",(315) 295-2275
Dog Daze Bakery,"309 South Main Street # 2, North Syracuse, NY",(315) 410-1278
The Perfect Paw,"OLD Bridge ST, East Syracuse, NY",(315) 410-7744
The Barking Orange,"1005 North GEDDES ST, Syracuse, NY",(315) 314-6767
Barks N’ Bubbles,"612 Avery Ave, Syracuse, NY",(315) 488-2080
Clip Dip 'N Fluff Dog Grooming,"3424 Burnet Avenue, Syracuse, NY",(315) 463-1945
Woof Gang Grooming And Daycare LLC,"100 East Manlius Street, East Syracuse, NY",(315) 433-1110
Pink Pug,"305 NOTTINGHAM Road, Syracuse, NY",(315) 214-5166
Kara's Paw-Fect Grooming,"1900 Brewerton Road, Mattydale, NY",(315) 849-3935
Pads LLC,"215 Robert Drive, Syracuse, NY",(315) 474-1897
Docupet Corporation,"235 Harrison Street # 61, Syracuse, NY",(855) 249-1370
R B Romp And Play Doggy Daycare,"6780 Manlius Center Road, East Syracuse, NY",(315) 991-8272
Canines Unleashed Inc,"806 Old Liverpool Road, Liverpool, NY",(315) 451-3538
Ira Snowhill,"4922 Snow Hill Drive, Syracuse, NY",(315) 492-4253
A Bark and A Wag Grooming Salon,"102 West ELM ST, Fayetteville, NY",(315) 637-9244
Village Groomer,"8122 East GENESEE ST, Fayetteville, NY",(315) 637-1775
Canine Clipper,"527 Charles Avenue, Syracuse, NY",(315) 468-0585
Precious Pets,"315 Fayette Street # 8, Manlius, NY",(315) 692-2327
Penny's Dog Grooming,"6430 KIRKSVILLE RD, East Syracuse, NY",(315) 635-9364
It's A Dog's World,"113 Viking Place, Liverpool, NY",(315) 457-6888
K9 Grooming Gallery Limited,"3317 Warners Road, Camillus, NY",(315) 468-2488
ABC Reefs,"527 CHARLES Avenue GEDDES Plaza, Solvay, NY",(315) 882-0778
Stone Dentistry & Dentures,"5663 E Circle Drive, Cicero, NY",(315) 214-0004
Closed Ad,,
Dgi Paws Incorporated,"315 Fayette Street, Manlius, NY",(315) 256-4218
Dental Visits LLC,"150 East Fayette Street Apartment 511, Syracuse, NY",(212) 697-0939
Jean Marie Lemanczyk Rpt,"125 Blackstone Way, Syracuse, NY",(315) 488-1358
Dog House Grooming,"4205 LONG Branch Road 4, Liverpool, NY",(315) 378-4220
Aspen Dental,"124 Northrn Lghts Drive 104, North Syracuse, NY",(315) 455-2411
Justins Canine Campus,"8075 OSWEGO Road, Liverpool, NY",(315) 715-4075
Petland Of Syracuse,"5701 East Circle Drive # 104, Cicero, NY",(315) 752-0444
